,Date,Open,High,Low,Close,Adj_Close,Volume,pct_dif_1
7451,1957-10-18,40.33,40.33,40.33,40.33,40.33,2670000.0,-0.007934540044631795
7452,1957-10-21,39.15,39.15,39.15,39.15,39.15,4670000.0,-0.0301404853128991
7453,1957-10-22,38.98,38.98,38.98,38.98,38.98,5090000.0,-0.004361210877373056
7454,1957-10-23,40.73,40.73,40.73,40.73,40.73,4600000.0,0.04296587282101645
7455,1957-10-24,40.71,40.71,40.71,40.71,40.71,4030000.0,-0.0004912797838367974
7456,1957-10-25,40.59,40.59,40.59,40.59,40.59,2400000.0,-0.002956393200295576
7457,1957-10-28,40.42,40.42,40.42,40.42,40.42,1800000.0,-0.004205838693716024
7458,1957-10-29,40.69,40.69,40.69,40.69,40.69,1860000.0,0.006635536986974589
7459,1957-10-30,41.02,41.02,41.02,41.02,41.02,2060000.0,0.008044856167723193
7460,1957-10-31,41.06,41.06,41.06,41.06,41.06,2170000.0,0.0009741841207988102
7461,1957-11-01,40.44,40.44,40.44,40.44,40.44,2060000.0,-0.015331355093966484
7462,1957-11-04,40.37,40.37,40.37,40.37,40.37,2380000.0,-0.0017339608620262643
7463,1957-11-06,40.43,40.43,40.43,40.43,40.43,2550000.0,0.0014840465001237269
7464,1957-11-07,40.67,40.67,40.67,40.67,40.67,2580000.0,0.005901155642980133
7465,1957-11-08,40.19,40.19,40.19,40.19,40.19,2140000.0,-0.011943269470017517
7466,1957-11-11,40.18,40.18,40.18,40.18,40.18,1540000.0,-0.00024888003982075687
7467,1957-11-12,39.6,39.6,39.6,39.6,39.6,2050000.0,-0.014646464646464604
7468,1957-11-13,39.55,39.55,39.55,39.55,39.55,2120000.0,-0.0012642225031606641
7469,1957-11-14,39.44,39.44,39.44,39.44,39.44,2450000.0,-0.002789046653144002
7470,1957-11-15,40.37,40.37,40.37,40.37,40.37,3510000.0,0.023036908595491696
7471,1957-11-18,40.04,40.04,40.04,40.04,40.04,2110000.0,-0.008241758241758199
7472,1957-11-19,39.81,39.81,39.81,39.81,39.81,2240000.0,-0.005777442853554304
7473,1957-11-20,39.92,39.92,39.92,39.92,39.92,2400000.0,0.002755511022044074
7474,1957-11-21,40.48,40.48,40.48,40.48,40.48,2900000.0,0.013833992094861542
7475,1957-11-22,40.87,40.87,40.87,40.87,40.87,2850000.0,0.009542451676046015
7476,1957-11-25,41.18,41.18,41.18,41.18,41.18,2600000.0,0.007527926177756248
7477,1957-11-26,40.09,40.09,40.09,40.09,40.09,3650000.0,-0.027188825143427194
7478,1957-11-27,41.25,41.25,41.25,41.25,41.25,3330000.0,0.02812121212121204
7479,1957-11-29,41.72,41.72,41.72,41.72,41.72,2740000.0,0.011265580057526339
7480,1957-12-02,41.36,41.36,41.36,41.36,41.36,2430000.0,-0.008704061895551243
7481,1957-12-03,41.37,41.37,41.37,41.37,41.37,2060000.0,0.00024172105390374694
7482,1957-12-04,41.54,41.54,41.54,41.54,41.54,2220000.0,0.004092441020702978
7483,1957-12-05,41.52,41.52,41.52,41.52,41.52,2020000.0,-0.00048169556840067486
7484,1957-12-06,41.31,41.31,41.31,41.31,41.31,2350000.0,-0.005083514887436477
7485,1957-12-09,40.92,40.92,40.92,40.92,40.92,2230000.0,-0.009530791788856319
7486,1957-12-10,40.56,40.56,40.56,40.56,40.56,2360000.0,-0.0088757396449704
7487,1957-12-11,40.51,40.51,40.51,40.51,40.51,2240000.0,-0.0012342631449025986
7488,1957-12-12,40.55,40.55,40.55,40.55,40.55,2330000.0,0.0009864364981504105
7489,1957-12-13,40.73,40.73,40.73,40.73,40.73,2310000.0,0.004419346918733114
7490,1957-12-16,40.12,40.12,40.12,40.12,40.12,2350000.0,-0.015204386839481542
7491,1957-12-17,39.42,39.42,39.42,39.42,39.42,2820000.0,-0.01775748351090806
7492,1957-12-18,39.38,39.38,39.38,39.38,39.38,2750000.0,-0.0010157440325037873
7493,1957-12-19,39.8,39.8,39.8,39.8,39.8,2740000.0,0.010552763819095342
7494,1957-12-20,39.48,39.48,39.48,39.48,39.48,2500000.0,-0.008105369807497475
7495,1957-12-23,39.48,39.48,39.48,39.48,39.48,2790000.0,0.0
7496,1957-12-24,39.52,39.52,39.52,39.52,39.52,2220000.0,0.0010121457489880123
7497,1957-12-26,39.92,39.92,39.92,39.92,39.92,2280000.0,0.010020040080160284
7498,1957-12-27,39.78,39.78,39.78,39.78,39.78,2620000.0,-0.0035193564605329455
7499,1957-12-30,39.58,39.58,39.58,39.58,39.58,3750000.0,-0.005053057099545297
7500,1957-12-31,39.99,39.99,39.99,39.99,39.99,5070000.0,0.010252563140785289
7501,1958-01-02,40.33,40.33,40.33,40.33,40.33,1800000.0,0.008430448797421183
